Player;Role;Team;Opponent Team;Opponent Player;Date;Week;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
kingen;TOP;DK;HLE;Doran;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;1;Blue;00:25:19;Maokai;Lee_Sin;Skarner;Kalista;Skarner;Zac;Win;22;9;1;1;15;3;0;8;Perfect_KDA;207;8;0;8.2;10240;404;0.194;23;7;3;5;5;0.91;0.28;0.2;0.12;0.085;17601;12015;5171;415;695;0.244;0.43;0.5;0;0;0;0;0;289;4;-48;0;0;3126;3126;1217;0;20005;0;39;536;11355;0;7;24;0;0
Lucid;JUNGLE;DK;HLE;Peanut;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;1;Blue;00:25:19;Senna;Lucian;Vi;Nidalee;Vi;Nidalee;Win;22;9;1;1;14;1;0;11;Perfect_KDA;170;142;0;6.7;9413;372;0.179;56;10;19;10;8;2.21;0.39;0.39;0.75;0.206;7933;7474;0;459;313;0.11;0.47;0.545;0;0;0;0;0;190;-14;-276;0;0;2046;2046;13688;0;25693;0;16;210;21916;0;11;28;0;0
ShowMaker;MID;DK;HLE;Zeka;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;1;Blue;00:25:19;Twisted_Fate;Ashe;Taliyah;Tristana;Taliyah;Tristana;Win;22;9;1;1;16;11;0;7;Perfect_KDA;231;4;0;9.1;12263;484;0.233;42;19;10;11;10;1.66;0.75;0.43;0.39;0.154;21637;1180;19283;1174;855;0.3;0.71;0.818;1;1;0;0;0;944;-2;852;0;0;1643;1643;1056;436;3816;0;27;343;7742;0;13;31;0;0
Aiming;ADCARRY;DK;HLE;Viper;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;1;Blue;00:25:19;KSante;Varus;Xayah;Zac;Xayah;Kalista;Win;22;9;1;1;15;7;0;11;Perfect_KDA;249;16;0;9.8;13391;529;0.254;33;11;10;3;3;1.3;0.43;0.12;0.39;0.121;19539;18161;290;1088;772;0.271;0.71;0.818;0;1;0;0;0;621;-7;76;0;0;14421;14421;4715;0;4936;0;11;68;9710;0;4;22;0;0
Kellin;SUPPORT;DK;HLE;Delight;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;1;Blue;00:25:19;Renata_Glasc;Corki;Rakan;Leona;Rakan;Leona;Win;22;9;1;1;11;0;1;17;17;36;0;0;1.4;7382;292;0.14;118;71;18;14;12;4.66;2.8;0.55;0.71;0.434;5456;1388;3446;622;216;0.076;0.67;0.773;0;0;0;0;0;554;-2;632;1;0;2602;2602;4233;1215;11300;1875;21;63;11941;0;16;29;0;0
Doran;TOP;HLE;DK;kingen;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;1;Red;00:25:19;Lee_Sin;Maokai;Kalista;Skarner;Zac;Skarner;Loss;1;2;3;0;14;0;4;1;0.3;201;0;0;7.9;8590;339;0.221;16;8;2;3;2;0.63;0.32;0.12;0.08;0.072;7505;1296;5329;880;296;0.209;0.04;1;0;0;0;0;0;-289;-4;48;0;0;4406;4406;24334;0;21337;0;18;292;26485;83;4;22;0;0
Peanut;JUNGLE;HLE;DK;Lucid;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;1;Red;00:25:19;Lucian;Senna;Nidalee;Vi;Nidalee;Vi;Loss;1;2;3;0;13;0;3;1;0.3;181;158;0;7.1;7717;305;0.199;39;5;14;6;4;1.54;0.2;0.24;0.55;0.176;10773;501;8400;1872;426;0.3;0.04;1;0;0;0;0;0;-190;14;276;0;1;0;0;17012;3135;13461;0;7;182;23755;112;8;20;0;0
Zeka;MID;HLE;DK;ShowMaker;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;1;Red;00:25:19;Ashe;Twisted_Fate;Tristana;Taliyah;Tristana;Taliyah;Loss;1;2;3;0;14;0;5;0;0;218;4;0;8.6;8263;326;0.213;29;11;12;4;3;1.15;0.43;0.16;0.47;0.131;9264;8720;544;0;366;0.258;0;0;0;0;0;0;0;-944;2;-852;0;0;0;0;3196;0;10962;0;1;14;15958;130;5;23;0;0
Viper;ADCARRY;HLE;DK;Aiming;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;1;Red;00:25:19;Varus;KSante;Zac;Xayah;Kalista;Xayah;Loss;1;2;3;0;12;1;6;0;0.2;220;8;0;8.7;8642;341;0.222;28;12;10;3;3;1.11;0.47;0.12;0.39;0.126;4417;3781;187;449;174;0.123;0.04;1;0;0;0;0;0;-621;7;-76;0;0;1159;1159;2386;0;10055;0;5;206;15613;160;6;18;0;0
Delight;SUPPORT;HLE;DK;Kellin;12.06.2024;1;1;v14.11;Summer_Season_24;1;3;3;1;Red;00:25:19;Corki;Renata_Glasc;Leona;Rakan;Leona;Rakan;Loss;1;2;3;0;9;0;4;1;0.3;35;0;0;1.4;5657;223;0.146;110;59;20;9;7;4.34;2.33;0.36;0.79;0.495;3961;853;2332;776;156;0.11;0.04;1;0;0;0;0;0;-554;2;-632;-1;0;81;81;552;87;15059;0;23;61;16827;82;11;21;0;0
Doran;TOP;HLE;DK;kingen;12.06.2024;1;1;v14.11;Summer_Season_24;2;3;3;2;Blue;00:32:01;Lee_Sin;Senna;Skarner;Viego;Skarner;Twisted_Fate;Win;15;9;2;1;18;4;1;10;14;261;0;0;8.2;13928;435;0.224;36;13;6;9;8;1.12;0.41;0.28;0.19;0.102;21218;10933;9907;378;663;0.317;0.44;0.933;0;0;0;0;0;-168;1;542;1;0;9706;9706;2251;0;50910;0;44;1308;20130;21;11;28;0;100
Peanut;JUNGLE;HLE;DK;Lucid;12.06.2024;1;1;v14.11;Summer_Season_24;2;3;3;2;Blue;00:32:01;Vi;Maokai;Ashe;Corki;KhaZix;Viego;Win;15;9;2;1;16;6;1;5;11;265;213;0;8.3;14235;445;0.229;151;48;40;7;6;4.72;1.5;0.22;1.25;0.427;16631;14389;730;1512;519;0.248;0.34;0.733;0;0;0;0;0;-25;6;-174;-1;0;2017;2017;19733;0;18867;0;8;362;27811;10;8;24;150;0
Zeka;MID;HLE;DK;ShowMaker;12.06.2024;1;1;v14.11;Summer_Season_24;2;3;3;2;Blue;00:32:01;Rumble;Nidalee;Taliyah;Twisted_Fate;Taliyah;Azir;Win;15;9;2;1;17;0;3;7;2.3;291;17;0;9.1;12276;383;0.198;43;21;4;9;9;1.34;0.66;0.28;0.12;0.121;8350;666;7657;27;261;0.125;0.22;0.467;0;0;0;0;0;-285;-8;-255;0;0;3199;3199;115;0;7507;0;12;500;14328;106;11;28;0;100
Viper;ADCARRY;HLE;DK;Aiming;12.06.2024;1;1;v14.11;Summer_Season_24;2;3;3;2;Blue;00:32:01;LeBlanc;Jax;Alistar;Azir;Ashe;Corki;Win;15;9;2;1;16;3;2;8;5.5;282;12;0;8.8;13354;417;0.215;37;15;10;6;6;1.16;0.47;0.19;0.31;0.105;15827;14211;1146;470;494;0.236;0.34;0.733;0;1;0;0;0;137;1;-43;0;0;5397;5397;2115;0;5192;0;31;788;9527;42;7;26;0;150
